lon,lat,name,year,month,drought,enso,PET,P,ET,SM,SM_prev,DS,NDVI
-100.3,35.4,P1,1992,1,NA,2.12,34.97471619,22.78000069,10.59300137,26.83137655,26.15852654,26,0.252243429
-100.3,35.4,P1,1992,10,NA,0.75,86.55171967,0.02,10.67632961,19.33150291,21.94900215,-13,0.336188942
-100.3,35.4,P1,1992,11,NA,0.36,41.97193909,90.83000183,7.376610756,21.34397477,19.33150291,-17,0.264814585
-100.3,35.4,P1,1992,12,NA,0.41,31.34633255,24.04000092,7.073547363,27.44440734,21.34397477,15,0.22456637
-100.3,35.4,P1,1992,2,NA,1.51,46.95676422,21.73999977,18.71636009,23.32771868,26.83137655,-7,0.272350907
-100.3,35.4,P1,1992,3,NA,2.22,79.83799744,42.95000076,32.94873047,23.06236625,23.32771868,-9,0.311342508
-100.3,35.4,P1,1992,4,NA,2.05,106.223114,41.93999863,60.14039993,23.61363918,23.06236625,10,0.417817354
-100.3,35.4,P1,1992,5,NA,1.19,128.0124969,84.01000214,67.57630157,22.06559777,23.61363918,-20,0.441068321
-100.3,35.4,P1,1992,6,NA,1.18,147.9137726,173.6799927,110.0675964,24.91014153,22.06559777,31,0.484934688
-100.3,35.4,P1,1992,7,NA,0.69,165.0296783,90.72000122,117.9168854,23.80801886,24.91014153,1,0.4671022
-100.3,35.4,P1,1992,8,NA,-0.08,144.2567291,25.75,82.57726288,21.69221491,23.80801886,18,0.40915677
-100.3,35.4,P1,1992,9,NA,-0.02,118.0917435,13.64999962,42.8026619,21.94900215,21.69221491,-14,0.384797901
-100.3,35.4,P1,1993,1,NA,0.59,30.11171532,32.25,8.221427917,26.93825364,27.44440734,-13,0.208567083
-100.3,35.4,P1,1993,10,NA,0.96,79.1823349,25.96999931,25.68966293,25.15478134,19.13833171,-7,0.336511403
-100.3,35.4,P1,1993,11,NA,0.24,44.32850647,10.06000042,8.129878044,23.04692864,25.15478134,-27,0.247807443
-100.3,35.4,P1,1993,12,NA,0.12,34.68213654,8.130000114,2.607717752,23.24754298,23.04692864,-11,0.261953861
-100.3,35.4,P1,1993,2,NA,0.74,39.545784,30.63999939,14.69790936,26.21088624,26.93825364,-4,0.216754317
-100.3,35.4,P1,1993,3,NA,0.81,71.12589264,56.63999939,30.68225288,23.52174968,26.21088624,3,0.248945326
-100.3,35.4,P1,1993,4,NA,1.71,101.4630203,57.83000183,46.62618637,21.17503136,23.52174968,-4,0.351271898
-100.3,35.4,P1,1993,5,NA,1.2,131.6304779,112.1100006,77.94458008,24.06432182,21.17503136,7,0.462754637
-100.3,35.4,P1,1993,6,NA,1.39,156.1484528,67.55999756,107.6499634,21.14340663,24.06432182,2,0.473994434
-100.3,35.4,P1,1993,7,0,0.94,171.3090668,145.5899963,107.1592484,22.02758789,21.14340663,14,0.477509588
-100.3,35.4,P1,1993,8,0,0.92,153.1209869,64.68000031,73.90333557,25.8766681,22.02758789,1,0.452519894
-100.3,35.4,P1,1993,9,NA,0.65,117.7954636,14.39999962,59.62751389,19.13833171,25.8766681,9,0.450059712
-100.3,35.4,P1,1994,1,NA,0.16,35.69709778,16.51000023,2.385525465,22.10112363,23.24754298,4,0.238396034
-100.3,35.4,P1,1994,10,NA,1.29,79.04090881,51.02000046,35.17530823,22.31997401,21.84404284,1,0.339294195
-100.3,35.4,P1,1994,11,NA,1.02,44.71894455,55.58000183,18.38417816,27.57531404,22.31997401,3,0.300863028
-100.3,35.4,P1,1994,12,NA,1.33,34.58457947,6.789999962,5.603895187,23.62373769,27.57531404,-18,0.261130005
-100.3,35.4,P1,1994,2,NA,-0.07,43.69850159,8.579999924,11.35468388,21.28380984,22.10112363,-1,0.250595838
-100.3,35.4,P1,1994,3,NA,0.52,78.87899017,43.79999924,23.42408562,20.32657415,21.28380984,-10,0.246498063
-100.3,35.4,P1,1994,4,NA,1.1,108.438179,91.66999817,37.27722931,17.81058311,20.32657415,23,0.352528155
-100.3,35.4,P1,1994,5,NA,0.89,133.610611,27.18000031,63.85635757,19.15976852,17.81058311,7,0.436444014
